μ子数据
开始时间,19:03:09
20241215 19:03:27,2.65
20241215 19:03:27,0.67
20241215 19:03:27,12.39
20241215 19:03:27,1.76
20241215 19:03:27,1.14
20241215 19:03:27,0.95
20241215 19:03:27,5.33
20241215 19:03:27,0.41
20241215 19:03:27,4.5
20241215 19:03:27,4.14
20241215 19:03:27,1.86
20241215 19:03:27,2.88
20241215 19:03:27,3.57
20241215 19:03:27,4.65
20241215 19:03:27,2.71
20241215 19:03:27,0.53
20241215 19:03:28,1.5
20241215 19:03:28,2
20241215 19:03:28,7.4
20241215 19:03:28,0.6
20241215 19:03:28,0.51
20241215 19:03:28,2.42
20241215 19:03:28,0.55
20241215 19:03:28,2.22
20241215 19:03:28,0.25
20241215 19:03:28,3.88
20241215 19:03:28,4.63
20241215 19:03:28,0.7
20241215 19:03:29,1.83
20241215 19:03:29,1.68
20241215 19:03:29,4.15
20241215 19:03:29,4.21
20241215 19:03:29,0.33
20241215 19:03:29,2.3
20241215 19:03:29,1.85
20241215 19:03:29,1.04
20241215 19:03:29,5.48
20241215 19:03:29,0.25
20241215 19:03:29,2.45
20241215 19:03:29,8.9
20241215 19:03:29,1.75
20241215 19:03:29,0.69
20241215 19:03:29,0.83
20241215 19:03:29,1.62
20241215 19:03:29,2.64
20241215 19:03:30,3.66
20241215 19:03:30,4.36
20241215 19:03:30,1.13
20241215 19:03:30,1.01
20241215 19:03:30,3.49
20241215 19:03:30,2
20241215 19:03:30,1.6
20241215 19:03:30,0.68
20241215 19:03:30,8.67
20241215 19:03:30,1.38
20241215 19:03:30,1.93
20241215 19:03:30,2.87
20241215 19:03:30,1.37
20241215 19:03:30,1.68
20241215 19:03:30,0.67
20241215 19:03:30,1.01
20241215 19:03:31,0.61
20241215 19:03:31,0.52
20241215 19:03:31,2.21
20241215 19:03:31,6.51
20241215 19:03:31,0.79
20241215 19:03:31,1.5
20241215 19:03:31,3.09
20241215 19:03:31,2.32
20241215 19:03:31,0.11
20241215 19:03:31,3.04
20241215 19:03:31,7.41
20241215 19:03:31,3.95
20241215 19:03:31,0.48
20241215 19:03:31,0.69
20241215 19:03:31,0.85
20241215 19:03:31,2.06
20241215 19:03:31,4.9
20241215 19:03:31,0.12
20241215 19:03:31,5.92
20241215 19:03:31,3.43
20241215 19:03:31,2.6
20241215 19:03:32,0.82
20241215 19:03:32,1.63
20241215 19:03:32,5.5
20241215 19:03:32,1.09
20241215 19:03:32,0.88
20241215 19:03:32,6.38
20241215 19:03:32,1.35
20241215 19:03:32,0.64
20241215 19:03:32,3.7
20241215 19:03:32,2.27
20241215 19:03:32,0.71
20241215 19:03:32,2.58
20241215 19:03:32,0.86
20241215 19:03:32,4.81
20241215 19:03:32,11.02
20241215 19:03:32,2.73
20241215 19:03:32,0.24
20241215 19:03:32,3.01
20241215 19:03:32,0.51
20241215 19:03:32,2.64
20241215 19:03:32,3.07
20241215 19:03:32,1.09
20241215 19:03:33,2.09
20241215 19:03:33,2.26
20241215 19:03:33,0.53
20241215 19:03:33,0.6
20241215 19:03:33,1.61
20241215 19:03:33,2.88
20241215 19:03:33,1.79
20241215 19:03:33,7.24
20241215 19:03:33,2.06
20241215 19:03:33,5.96
20241215 19:03:33,0.58
20241215 19:03:33,6.37
20241215 19:03:33,3.33
20241215 19:03:33,1.88
20241215 19:03:33,5
20241215 19:03:34,2.05
20241215 19:03:34,0.6
20241215 19:03:34,2.52
20241215 19:03:34,2.14
20241215 19:03:34,1.33
20241215 19:03:34,0.44
20241215 19:03:34,5.8
20241215 19:03:34,0.82
20241215 19:03:34,2.67
20241215 19:03:34,0.92
20241215 19:03:34,2.1
20241215 19:03:34,2.45
20241215 19:03:34,2.59
20241215 19:03:34,3.71
20241215 19:03:34,2.73
20241215 19:03:34,1.99
20241215 19:03:34,0.79
20241215 19:03:34,3.5
20241215 19:03:34,0.59
20241215 19:03:34,2.84
20241215 19:03:35,4.39
20241215 19:03:35,3.07
20241215 19:03:35,2.39
20241215 19:03:35,3.64
20241215 19:03:35,6.87
20241215 19:03:35,2.81
20241215 19:03:35,12.7
20241215 19:03:35,0.86
20241215 19:03:35,0.13
20241215 19:03:35,2.07
20241215 19:03:35,1.04
20241215 19:03:35,4.31
20241215 19:03:35,1.49
20241215 19:03:35,0.79
20241215 19:03:35,2.5
20241215 19:03:35,4.6
20241215 19:03:35,1.87
20241215 19:03:35,5.22
20241215 19:03:35,1
20241215 19:03:36,0.16
20241215 19:03:36,0.97
20241215 19:03:36,3.62
20241215 19:03:36,0.27
20241215 19:03:36,3.9
20241215 19:03:36,0.63
20241215 19:03:36,9.46
20241215 19:03:36,3.14
20241215 19:03:36,1.61
20241215 19:03:36,1.92
20241215 19:03:36,2.08
20241215 19:03:36,2.29
20241215 19:03:36,0.24
20241215 19:03:36,1.45
20241215 19:03:36,0.6
20241215 19:03:37,2.06
20241215 19:03:37,0.45
20241215 19:03:37,1.38
20241215 19:03:37,2.97
20241215 19:03:37,1.2
20241215 19:03:37,1.07
20241215 19:03:37,2.47
20241215 19:03:37,2.21
20241215 19:03:37,6.14
20241215 19:03:37,3.98
20241215 19:03:37,1.57
20241215 19:03:37,0.38
20241215 19:03:37,1.47
20241215 19:03:37,0.13
20241215 19:03:37,1.77
20241215 19:03:37,0.79
20241215 19:03:37,1.92
20241215 19:03:38,0.25
20241215 19:03:38,0.73
20241215 19:03:38,0.44
20241215 19:03:38,5.04
20241215 19:03:38,0.15
20241215 19:03:38,3.71
20241215 19:03:38,0.88
20241215 19:03:38,0.6
20241215 19:03:38,2.98
20241215 19:03:38,6.92
20241215 19:03:38,1.83
20241215 19:03:38,1.6
20241215 19:03:38,1.19
20241215 19:03:38,1.88
20241215 19:03:38,2.3
20241215 19:03:39,0.76
20241215 19:03:39,2.71
20241215 19:03:39,1.85
20241215 19:03:39,2.59
20241215 19:03:39,1.22
20241215 19:03:39,0.11
20241215 19:03:39,1.5
20241215 19:03:39,1.38
20241215 19:03:39,2.13
20241215 19:03:39,0.13
20241215 19:03:39,0.75
20241215 19:03:40,0.64
20241215 19:03:40,3.16
20241215 19:03:40,0.34
20241215 19:03:40,1.79
20241215 19:03:40,2.63
20241215 19:03:40,7.34
20241215 19:03:40,3.44
20241215 19:03:40,4.33
20241215 19:03:40,0.36
20241215 19:03:40,0.11
20241215 19:03:40,0.83
20241215 19:03:40,5.47
20241215 19:03:40,1.1
20241215 19:03:40,1.78
20241215 19:03:40,3.32
20241215 19:03:40,0.43
20241215 19:03:40,0.26
20241215 19:03:40,3.16
20241215 19:03:40,1.39
20241215 19:03:40,1.03
20241215 19:03:40,0.15
20241215 19:03:41,6.85
20241215 19:03:41,1.81
20241215 19:03:41,0.7
20241215 19:03:41,2.16
20241215 19:03:41,0.96
20241215 19:03:41,1.75
20241215 19:03:41,7.77
20241215 19:03:41,4.67
20241215 19:03:41,3.22
20241215 19:03:41,0.51
20241215 19:03:41,0.48
20241215 19:03:41,2.76
20241215 19:03:41,0.3
20241215 19:03:41,3.75
20241215 19:03:41,0.34
20241215 19:03:41,1.71
20241215 19:03:41,2.04
20241215 19:03:41,0.43
20241215 19:03:41,0.16
20241215 19:03:41,1.29
20241215 19:03:42,0.76
20241215 19:03:42,3.98
20241215 19:03:42,3.56
20241215 19:03:42,2.74
20241215 19:03:42,4.77
20241215 19:03:42,1.83
20241215 19:03:42,3.63
20241215 19:03:42,0.44
20241215 19:03:42,1.25
20241215 19:03:42,0.99
20241215 19:03:42,0.67
20241215 19:03:42,5.78
20241215 19:03:42,2.77
20241215 19:03:42,2
20241215 19:03:42,2.83
20241215 19:03:42,0.11
20241215 19:03:42,5.08
20241215 19:03:43,1.64
20241215 19:03:43,1.42
20241215 19:03:43,0.18
20241215 19:03:43,1.32
20241215 19:03:43,0.84
20241215 19:03:43,3.05
20241215 19:03:43,0.53
20241215 19:03:43,2.51
20241215 19:03:43,1.28
20241215 19:03:43,1.57
20241215 19:03:43,0.61
20241215 19:03:43,0.66
20241215 19:03:43,3.81
20241215 19:03:43,1.76
20241215 19:03:43,2.3
20241215 19:03:43,1.13
20241215 19:03:43,1.08
20241215 19:03:43,2.47
20241215 19:03:43,0.75
20241215 19:03:44,1.24
20241215 19:03:44,0.86
20241215 19:03:44,0.98
20241215 19:03:44,1.34
20241215 19:03:44,0.18
20241215 19:03:44,2.23
20241215 19:03:44,2.6
20241215 19:03:44,0.9
20241215 19:03:44,1.37
20241215 19:03:44,1.45
20241215 19:03:44,1.27
20241215 19:03:44,0.32
20241215 19:03:44,3.66
20241215 19:03:44,0.22
20241215 19:03:44,0.38
20241215 19:03:45,2.82
20241215 19:03:45,1.3
20241215 19:03:45,4.15
20241215 19:03:45,0.76
20241215 19:03:45,7.35
20241215 19:03:45,3.49
20241215 19:03:45,3.95
20241215 19:03:45,1.88
20241215 19:03:45,1.25
20241215 19:03:45,0.58
20241215 19:03:45,1.64
20241215 19:03:45,4.74
20241215 19:03:45,5.93
20241215 19:03:45,0.93
20241215 19:03:45,0.43
20241215 19:03:45,0.17
20241215 19:03:45,1.37
20241215 19:03:45,2.61
20241215 19:03:45,1.46
20241215 19:03:46,1.45
20241215 19:03:46,1.94
20241215 19:03:46,0.13
20241215 19:03:46,11.82
20241215 19:03:46,0.23
20241215 19:03:46,0.46
20241215 19:03:46,0.19
20241215 19:03:46,0.47
20241215 19:03:46,0.34
20241215 19:03:46,3.88
20241215 19:03:46,0.83
20241215 19:03:46,0.51
20241215 19:03:47,0.16
20241215 19:03:47,2.87
20241215 19:03:47,0.51
20241215 19:03:47,2.85
20241215 19:03:47,1.09
20241215 19:03:47,3.22
20241215 19:03:47,0.31
20241215 19:03:47,1.36
20241215 19:03:47,0.15
20241215 19:03:47,1.35
20241215 19:03:47,1.25
20241215 19:03:47,0.36
20241215 19:03:47,1.28
20241215 19:03:47,6.16
20241215 19:03:47,9.61
20241215 19:03:47,5.77
20241215 19:03:48,0.88
20241215 19:03:48,3.13
20241215 19:03:48,6.82
20241215 19:03:48,1.74
20241215 19:03:48,2.53
20241215 19:03:48,3.22
20241215 19:03:48,0.64
20241215 19:03:48,1.6
20241215 19:03:48,2.29
20241215 19:03:48,0.6
20241215 19:03:48,1.82
20241215 19:03:48,1.78
20241215 19:03:48,0.2
20241215 19:03:48,7.17
20241215 19:03:49,0.9
20241215 19:03:49,2.25
20241215 19:03:49,2.33
20241215 19:03:49,2.88
20241215 19:03:49,7.28
20241215 19:03:49,0.5
20241215 19:03:49,5.14
20241215 19:03:49,0.55
20241215 19:03:49,2.17
20241215 19:03:49,0.82
20241215 19:03:49,1.55
20241215 19:03:49,3.41
20241215 19:03:49,1.83
20241215 19:03:49,0.17
20241215 19:03:49,0.98
20241215 19:03:49,1.66
20241215 19:03:49,0.35
20241215 19:03:49,0.62
20241215 19:03:49,0.21
20241215 19:03:49,6.36
20241215 19:03:50,0.92
20241215 19:03:50,1.34
20241215 19:03:50,9.41
20241215 19:03:50,1.18
20241215 19:03:50,4.16
20241215 19:03:50,3.43
20241215 19:03:50,2.13
20241215 19:03:50,0.61
20241215 19:03:50,3.15
20241215 19:03:50,1.38
20241215 19:03:50,4.5
20241215 19:03:50,8.06
20241215 19:03:50,5.97
20241215 19:03:50,4.13
20241215 19:03:50,2.21
20241215 19:03:50,0.69
20241215 19:03:50,1.82
20241215 19:03:50,1.66
20241215 19:03:51,7.29
20241215 19:03:51,2.88
20241215 19:03:51,0.61
20241215 19:03:51,0.2
20241215 19:03:51,0.14
20241215 19:03:51,7.95
20241215 19:03:51,0.46
20241215 19:03:51,7.74
20241215 19:03:51,0.54
20241215 19:03:51,7.95
20241215 19:03:51,0.52
20241215 19:03:51,1.84
20241215 19:03:51,0.24
20241215 19:03:52,1.08
20241215 19:03:52,0.88
20241215 19:03:52,1.73
20241215 19:03:52,1.37
20241215 19:03:52,1.08
20241215 19:03:52,2.85
20241215 19:03:52,6.89
20241215 19:03:52,0.64
20241215 19:03:52,1.35
20241215 19:03:52,4.66
20241215 19:03:52,3.71
20241215 19:03:52,8
20241215 19:03:52,0.67
20241215 19:03:52,4.57
20241215 19:03:52,6.61
20241215 19:03:53,1.81
20241215 19:03:53,0.63
20241215 19:03:53,0.5
20241215 19:03:53,0.19
20241215 19:03:53,1.08
20241215 19:03:53,0.81
20241215 19:03:53,6.77
20241215 19:03:53,1.48
20241215 19:03:53,0.68
20241215 19:03:53,10.67
20241215 19:03:53,1
20241215 19:03:53,4.14
20241215 19:03:53,2.23
20241215 19:03:53,1.32
20241215 19:03:53,0.27
20241215 19:03:53,1.03
20241215 19:03:53,2.09
20241215 19:03:53,1.79
20241215 19:03:54,0.37
20241215 19:03:54,0.93
20241215 19:03:54,3.91
20241215 19:03:54,0.25
20241215 19:03:54,0.14
20241215 19:03:54,15.09
20241215 19:03:54,6.81
20241215 19:03:54,3.85
20241215 19:03:54,3.11
20241215 19:03:54,1.6
20241215 19:03:54,1.26
20241215 19:03:54,8.24
20241215 19:03:54,0.31
20241215 19:03:54,1.64
20241215 19:03:54,1.72
20241215 19:03:54,3.1
20241215 19:03:54,8.03
20241215 19:03:54,5.03
20241215 19:03:54,1.94
20241215 19:03:55,1.93
20241215 19:03:55,0.47
20241215 19:03:55,1.99
20241215 19:03:55,3.12
20241215 19:03:55,4.96
20241215 19:03:55,0.5
20241215 19:03:55,3.45
20241215 19:03:55,1.99
20241215 19:03:55,6.28
20241215 19:03:55,1.35
20241215 19:03:55,2.21
20241215 19:03:55,0.38
20241215 19:03:55,2.9
20241215 19:03:55,0.93
20241215 19:03:55,0.77
20241215 19:03:55,1.8
20241215 19:03:55,2.31
20241215 19:03:55,0.56
20241215 19:03:55,1.58
20241215 19:03:56,9.25
20241215 19:03:56,0.18
20241215 19:03:56,13.73
20241215 19:03:56,0.41
20241215 19:03:56,0.42
20241215 19:03:56,1.68
20241215 19:03:56,3.32
20241215 19:03:56,1.99
20241215 19:03:56,0.91
20241215 19:03:56,0.47
20241215 19:03:56,2.61
20241215 19:03:56,0.17
20241215 19:03:56,0.44
20241215 19:03:56,1
20241215 19:03:57,0.22
20241215 19:03:57,1.49
20241215 19:03:57,0.31
20241215 19:03:57,2.49
20241215 19:03:57,1.54
20241215 19:03:57,1.71
20241215 19:03:57,1.11
20241215 19:03:57,0.63
20241215 19:03:57,5.71
20241215 19:03:57,8.27
20241215 19:03:57,5.5
20241215 19:03:57,3.62
20241215 19:03:57,5.24
20241215 19:03:57,0.96
20241215 19:03:57,2.22
20241215 19:03:57,6.27
20241215 19:03:57,0.75
20241215 19:03:57,0.23
20241215 19:03:57,0.2
20241215 19:03:57,1.2
20241215 19:03:57,2.75
20241215 19:03:57,4.64
20241215 19:03:58,0.68
20241215 19:03:58,0.59
20241215 19:03:58,7.46
20241215 19:03:58,3.18
20241215 19:03:58,0.84
20241215 19:03:58,0.68
20241215 19:03:58,3.19
20241215 19:03:58,0.69
20241215 19:03:58,1.72
20241215 19:03:58,0.13
20241215 19:03:58,2.6
20241215 19:03:58,0.14
20241215 19:03:58,5.51
20241215 19:03:58,0.91
20241215 19:03:59,0.51
20241215 19:03:59,2
20241215 19:03:59,0.2
20241215 19:03:59,0.35
20241215 19:03:59,0.58
20241215 19:03:59,3.68
20241215 19:03:59,3
20241215 19:03:59,2.16
20241215 19:03:59,3.34
20241215 19:03:59,1.43
20241215 19:03:59,3.41
20241215 19:03:59,8.19
20241215 19:03:59,0.23
20241215 19:04:00,0.5
20241215 19:04:00,0.49
20241215 19:04:00,0.65
20241215 19:04:00,2.89
20241215 19:04:00,1.61
20241215 19:04:00,3.47
20241215 19:04:00,1.88
20241215 19:04:00,0.71
20241215 19:04:00,4.04
20241215 19:04:00,5.99
20241215 19:04:00,0.52
20241215 19:04:00,5.05
20241215 19:04:00,4.23
20241215 19:04:00,3.23
20241215 19:04:00,0.17
20241215 19:04:00,2.51
20241215 19:04:00,7.25
20241215 19:04:00,4.63
20241215 19:04:00,0.32
20241215 19:04:00,1.01
20241215 19:04:00,0.36
20241215 19:04:00,1.33
20241215 19:04:00,1.25
20241215 19:04:01,3.05
20241215 19:04:01,0.56
20241215 19:04:01,4.39
20241215 19:04:01,2.58
20241215 19:04:01,3.04
20241215 19:04:01,4.67
20241215 19:04:01,0.59
20241215 19:04:01,1.6
20241215 19:04:01,1.18
20241215 19:04:01,0.3
20241215 19:04:01,0.94
20241215 19:04:01,3.05
20241215 19:04:01,0.81
20241215 19:04:01,5.7
20241215 19:04:01,3.89
20241215 19:04:01,0.82
20241215 19:04:01,5.74
20241215 19:04:01,0.11
20241215 19:04:01,0.82
20241215 19:04:01,1.94
20241215 19:04:01,0.72
20241215 19:04:01,3.83
20241215 19:04:02,0.7
20241215 19:04:02,3.85
20241215 19:04:02,2.71
20241215 19:04:02,3.59
20241215 19:04:02,0.89
20241215 19:04:02,1.8
20241215 19:04:02,0.33
20241215 19:04:02,0.16
20241215 19:04:02,9.92
20241215 19:04:02,0.38
20241215 19:04:02,0.3
20241215 19:04:02,0.16
20241215 19:04:02,2.53
20241215 19:04:02,1.92
20241215 19:04:02,4.84
20241215 19:04:02,0.75
20241215 19:04:02,1.51
20241215 19:04:02,6.15
20241215 19:04:02,0.17
20241215 19:04:02,0.19
20241215 19:04:02,1.17
20241215 19:04:02,0.37
20241215 19:04:02,1.33
20241215 19:04:02,0.1
20241215 19:04:02,0.96
20241215 19:04:03,0.48
20241215 19:04:03,1.99
20241215 19:04:03,0.81
20241215 19:04:03,0.39
20241215 19:04:03,5.66
20241215 19:04:03,0.57
20241215 19:04:03,0.37
20241215 19:04:03,4.55
20241215 19:04:03,2.32
20241215 19:04:03,1.37
20241215 19:04:03,0.97
20241215 19:04:04,0.26
20241215 19:04:04,0.69
20241215 19:04:04,6.45
20241215 19:04:04,2.09
20241215 19:04:04,0.23
20241215 19:04:04,3.24
20241215 19:04:04,1.84
20241215 19:04:04,1.19
20241215 19:04:04,0.55
20241215 19:04:04,4.21
20241215 19:04:04,1.06
20241215 19:04:04,1.49
20241215 19:04:04,0.8
20241215 19:04:04,1.82
20241215 19:04:04,6.91
20241215 19:04:04,2.97
20241215 19:04:04,1.65
20241215 19:04:04,0.16
20241215 19:04:04,1.06
20241215 19:04:04,2.6
20241215 19:04:04,1.34
20241215 19:04:04,1.78
20241215 19:04:04,10.01
20241215 19:04:04,2.02
20241215 19:04:04,2.75
20241215 19:04:04,3.43
20241215 19:04:05,4.07
20241215 19:04:05,0.46
20241215 19:04:05,0.93
20241215 19:04:05,0.83
20241215 19:04:05,2.38
20241215 19:04:05,0.56
20241215 19:04:05,2.63
20241215 19:04:05,3.17
20241215 19:04:05,1.62
20241215 19:04:05,0.47
20241215 19:04:05,3.62
20241215 19:04:05,2.98
20241215 19:04:05,2.22
20241215 19:04:06,1.49
20241215 19:04:06,3.42
20241215 19:04:06,1.85
20241215 19:04:06,11.82
20241215 19:04:06,1.94
20241215 19:04:06,1.77
20241215 19:04:06,0.72
20241215 19:04:06,4.65
20241215 19:04:06,1.87
20241215 19:04:06,0.15
20241215 19:04:06,0.17
20241215 19:04:06,0.66
20241215 19:04:06,1.22
20241215 19:04:06,1.26
20241215 19:04:06,1.69
20241215 19:04:06,3.44
20241215 19:04:06,0.55
20241215 19:04:06,2.8
20241215 19:04:06,1.73
20241215 19:04:06,1.08
20241215 19:04:07,2.86
20241215 19:04:07,1.16
20241215 19:04:07,0.32
20241215 19:04:07,2.99
20241215 19:04:07,0.89
20241215 19:04:07,1.67
20241215 19:04:07,2.11
20241215 19:04:07,3.75
20241215 19:04:07,4.5
20241215 19:04:08,6.29
20241215 19:04:08,0.67
20241215 19:04:08,0.73
20241215 19:04:08,0.19
20241215 19:04:08,1.69
20241215 19:04:08,1.96
20241215 19:04:08,1.86
20241215 19:04:08,3.63
20241215 19:04:08,0.13
20241215 19:04:08,2.94
20241215 19:04:08,0.82
20241215 19:04:09,0.81
