μ子数据
开始时间,19:30:20
20241215 19:30:29,5.11
20241215 19:30:29,5.43
20241215 19:30:30,2.61
20241215 19:30:30,6.73
20241215 19:30:30,0.88
20241215 19:30:30,2.56
20241215 19:30:30,5.17
20241215 19:30:30,0.5
20241215 19:30:30,4.35
20241215 19:30:30,2.31
20241215 19:30:30,1.09
20241215 19:30:30,3.67
20241215 19:30:30,4.64
20241215 19:30:31,6.37
20241215 19:30:31,3.85
20241215 19:30:31,1.08
20241215 19:30:31,1.81
20241215 19:30:31,1.08
20241215 19:30:31,3.77
20241215 19:30:31,2.18
20241215 19:30:31,0.62
20241215 19:30:31,1.56
20241215 19:30:31,2.23
20241215 19:30:31,3.77
20241215 19:30:32,2.38
20241215 19:30:32,0.54
20241215 19:30:32,0.11
20241215 19:30:32,0.92
20241215 19:30:32,0.79
20241215 19:30:32,1.64
20241215 19:30:32,2.93
20241215 19:30:32,2.41
20241215 19:30:32,5.31
20241215 19:30:32,0.41
20241215 19:30:32,0.35
20241215 19:30:32,3.52
20241215 19:30:33,2.03
20241215 19:30:33,0.32
20241215 19:30:33,2.75
20241215 19:30:33,3.03
20241215 19:30:33,7.63
20241215 19:30:33,2.11
20241215 19:30:33,2.01
20241215 19:30:33,1.44
20241215 19:30:33,0.96
20241215 19:30:33,0.38
20241215 19:30:33,0.65
20241215 19:30:33,0.58
20241215 19:30:34,0.73
20241215 19:30:34,0.58
20241215 19:30:34,2.91
20241215 19:30:34,1
20241215 19:30:34,1.15
20241215 19:30:34,2.1
20241215 19:30:34,1.32
20241215 19:30:34,0.6
20241215 19:30:34,8.16
20241215 19:30:34,3.65
20241215 19:30:34,0.99
20241215 19:30:34,0.44
20241215 19:30:34,1.93
20241215 19:30:34,0.78
20241215 19:30:34,0.23
20241215 19:30:34,1.1
20241215 19:30:34,0.54
20241215 19:30:34,3.53
20241215 19:30:34,2.51
20241215 19:30:35,1.67
20241215 19:30:35,2.54
20241215 19:30:35,1.02
20241215 19:30:35,2.21
20241215 19:30:35,2.74
20241215 19:30:35,0.17
20241215 19:30:35,3.54
20241215 19:30:35,0.74
20241215 19:30:35,1.36
20241215 19:30:35,1.86
20241215 19:30:35,0.18
20241215 19:30:35,1.82
20241215 19:30:35,0.51
20241215 19:30:36,2.5
20241215 19:30:36,1.13
20241215 19:30:36,0.82
20241215 19:30:36,3.08
20241215 19:30:36,0.14
20241215 19:30:36,1.03
20241215 19:30:36,1.05
20241215 19:30:36,2.68
20241215 19:30:36,2.37
20241215 19:30:36,0.73
20241215 19:30:37,0.71
20241215 19:30:37,0.27
20241215 19:30:37,1.36
20241215 19:30:37,1.03
20241215 19:30:37,3.71
20241215 19:30:37,4.58
20241215 19:30:37,0.52
20241215 19:30:37,0.52
20241215 19:30:37,3.48
20241215 19:30:37,7.53
20241215 19:30:37,3.51
20241215 19:30:37,0.39
20241215 19:30:37,2.15
20241215 19:30:37,0.83
20241215 19:30:37,4.56
20241215 19:30:37,2.28
20241215 19:30:37,3.13
20241215 19:30:37,2.33
20241215 19:30:37,1.59
20241215 19:30:37,2.86
20241215 19:30:38,1.23
20241215 19:30:38,6.83
20241215 19:30:38,0.38
20241215 19:30:38,0.34
20241215 19:30:38,1.68
20241215 19:30:38,0.14
20241215 19:30:38,0.72
20241215 19:30:38,2.31
20241215 19:30:38,0.5
20241215 19:30:38,0.99
20241215 19:30:38,1.09
20241215 19:30:39,0.16
20241215 19:30:39,4.03
20241215 19:30:39,1.34
20241215 19:30:39,4.03
20241215 19:30:39,2.8
20241215 19:30:39,0.9
20241215 19:30:39,7.87
20241215 19:30:39,0.67
20241215 19:30:39,0.93
20241215 19:30:39,1.07
20241215 19:30:39,5.12
20241215 19:30:39,4.81
20241215 19:30:39,0.34
20241215 19:30:39,3.69
20241215 19:30:39,8.48
20241215 19:30:40,3.85
20241215 19:30:40,0.73
20241215 19:30:40,0.63
20241215 19:30:40,1.84
20241215 19:30:40,4.29
20241215 19:30:40,1.57
20241215 19:30:40,1.23
20241215 19:30:40,0.22
20241215 19:30:40,1.77
20241215 19:30:40,2.47
20241215 19:30:40,5.29
20241215 19:30:40,2.27
20241215 19:30:40,1.56
20241215 19:30:40,2.77
20241215 19:30:40,0.57
20241215 19:30:40,4.78
20241215 19:30:40,1.55
20241215 19:30:41,1.8
20241215 19:30:41,2.56
20241215 19:30:41,0.48
20241215 19:30:41,4.05
20241215 19:30:41,1.89
20241215 19:30:41,4.45
20241215 19:30:41,3.09
20241215 19:30:41,0.67
20241215 19:30:41,6.8
20241215 19:30:41,0.26
20241215 19:30:41,1.58
20241215 19:30:41,2.28
20241215 19:30:41,1.51
20241215 19:30:41,0.35
20241215 19:30:41,0.8
20241215 19:30:41,0.46
20241215 19:30:41,4.36
20241215 19:30:41,5.72
20241215 19:30:41,0.46
20241215 19:30:42,0.87
20241215 19:30:42,4.79
20241215 19:30:42,0.81
20241215 19:30:42,1.91
20241215 19:30:42,3.38
20241215 19:30:42,0.78
20241215 19:30:42,0.5
20241215 19:30:42,0.84
20241215 19:30:42,3.22
20241215 19:30:42,2.55
20241215 19:30:42,0.18
20241215 19:30:42,1.25
20241215 19:30:42,2.44
20241215 19:30:42,6.25
20241215 19:30:42,0.17
20241215 19:30:42,10.09
20241215 19:30:42,2.25
20241215 19:30:43,0.58
20241215 19:30:43,1.64
20241215 19:30:43,1.48
20241215 19:30:43,3.22
20241215 19:30:43,0.1
20241215 19:30:43,0.8
20241215 19:30:43,4.33
20241215 19:30:43,1.34
20241215 19:30:43,2.06
20241215 19:30:43,4.23
20241215 19:30:43,3.94
20241215 19:30:43,2.92
20241215 19:30:43,5.91
20241215 19:30:43,0.63
20241215 19:30:43,0.36
20241215 19:30:43,0.52
20241215 19:30:43,1.91
20241215 19:30:43,6.1
20241215 19:30:43,0.8
20241215 19:30:44,1.22
20241215 19:30:44,6.19
20241215 19:30:44,0.4
20241215 19:30:44,0.31
20241215 19:30:44,1.01
20241215 19:30:44,2.6
20241215 19:30:44,0.96
20241215 19:30:44,2.57
20241215 19:30:44,0.3
20241215 19:30:44,0.49
20241215 19:30:44,0.96
20241215 19:30:44,0.56
20241215 19:30:44,2.45
20241215 19:30:44,8.91
20241215 19:30:44,0.7
20241215 19:30:44,2.27
20241215 19:30:44,1.24
20241215 19:30:44,0.64
20241215 19:30:45,3.79
20241215 19:30:45,1.01
20241215 19:30:45,3.25
20241215 19:30:45,8.25
20241215 19:30:45,4.16
20241215 19:30:45,0.92
20241215 19:30:45,12.75
20241215 19:30:45,0.49
20241215 19:30:45,1.92
20241215 19:30:45,0.8
20241215 19:30:45,0.77
20241215 19:30:45,4.19
20241215 19:30:45,5.96
20241215 19:30:45,0.85
20241215 19:30:46,0.38
20241215 19:30:46,0.25
20241215 19:30:46,0.85
20241215 19:30:46,2.9
20241215 19:30:46,1.49
20241215 19:30:46,0.38
20241215 19:30:46,2.78
20241215 19:30:46,1.75
20241215 19:30:46,3.47
20241215 19:30:46,0.86
20241215 19:30:46,6.66
20241215 19:30:46,0.96
20241215 19:30:46,0.21
20241215 19:30:46,2.39
20241215 19:30:46,2.73
20241215 19:30:47,1.41
20241215 19:30:47,2.76
20241215 19:30:47,3.75
20241215 19:30:47,9.47
20241215 19:30:47,0.45
20241215 19:30:47,0.23
20241215 19:30:47,1.37
20241215 19:30:47,0.39
20241215 19:30:47,2.61
20241215 19:30:47,9.43
20241215 19:30:47,0.26
20241215 19:30:47,0.31
20241215 19:30:47,1.51
20241215 19:30:47,0.44
20241215 19:30:47,5.92
20241215 19:30:47,1.87
20241215 19:30:47,0.27
20241215 19:30:48,0.45
20241215 19:30:48,0.55
20241215 19:30:48,2.64
20241215 19:30:48,0.75
20241215 19:30:48,0.65
20241215 19:30:48,0.4
20241215 19:30:48,3.08
20241215 19:30:48,0.6
20241215 19:30:48,1.51
20241215 19:30:48,0.49
20241215 19:30:48,1.83
20241215 19:30:48,0.71
20241215 19:30:48,3.91
20241215 19:30:48,0.33
20241215 19:30:49,0.36
20241215 19:30:49,3.01
20241215 19:30:49,1.45
20241215 19:30:49,0.95
20241215 19:30:49,0.88
20241215 19:30:49,0.2
20241215 19:30:49,1.29
20241215 19:30:49,0.86
20241215 19:30:49,0.57
20241215 19:30:49,1.37
20241215 19:30:49,0.17
20241215 19:30:49,2.53
20241215 19:30:49,1.86
20241215 19:30:49,7.85
20241215 19:30:49,0.37
20241215 19:30:49,7.09
20241215 19:30:49,3.17
20241215 19:30:49,3.34
20241215 19:30:49,1.21
20241215 19:30:49,0.53
20241215 19:30:49,8.46
20241215 19:30:49,1.69
20241215 19:30:49,0.92
20241215 19:30:49,2.02
20241215 19:30:50,0.51
20241215 19:30:50,1.34
20241215 19:30:50,0.51
20241215 19:30:50,2.35
20241215 19:30:50,2.42
20241215 19:30:50,1.2
20241215 19:30:50,5.4
20241215 19:30:50,0.42
20241215 19:30:50,0.7
20241215 19:30:50,0.96
20241215 19:30:50,1.19
20241215 19:30:50,1.19
20241215 19:30:50,1.53
20241215 19:30:50,0.43
20241215 19:30:50,1.37
20241215 19:30:50,2.37
20241215 19:30:50,1.52
20241215 19:30:50,1.89
20241215 19:30:50,0.32
20241215 19:30:50,0.48
20241215 19:30:50,8.61
20241215 19:30:51,5.42
20241215 19:30:51,0.96
20241215 19:30:51,1.7
20241215 19:30:51,3.32
20241215 19:30:51,4.5
20241215 19:30:51,4.97
20241215 19:30:51,0.36
20241215 19:30:51,0.56
20241215 19:30:51,1.81
20241215 19:30:51,1.41
20241215 19:30:51,0.54
20241215 19:30:51,0.57
20241215 19:30:52,0.75
20241215 19:30:52,0.57
20241215 19:30:52,0.66
20241215 19:30:52,2.74
20241215 19:30:52,4.07
20241215 19:30:52,0.82
20241215 19:30:52,1.98
20241215 19:30:52,2.34
20241215 19:30:52,2.69
20241215 19:30:52,0.37
20241215 19:30:52,0.24
20241215 19:30:52,0.43
20241215 19:30:52,1.21
20241215 19:30:52,1.43
20241215 19:30:52,0.2
20241215 19:30:52,2.42
20241215 19:30:52,0.31
20241215 19:30:52,1.14
20241215 19:30:52,6.87
20241215 19:30:52,3.74
20241215 19:30:52,1.63
20241215 19:30:53,5.98
20241215 19:30:53,2.82
20241215 19:30:53,5.05
20241215 19:30:53,2.67
20241215 19:30:53,1.01
20241215 19:30:53,3.53
20241215 19:30:53,0.17
20241215 19:30:53,1.71
20241215 19:30:53,1.11
20241215 19:30:53,5.24
20241215 19:30:53,2.84
20241215 19:30:53,2.06
20241215 19:30:53,0.36
20241215 19:30:53,7.66
20241215 19:30:53,2.85
20241215 19:30:53,0.84
20241215 19:30:53,4.3
20241215 19:30:54,3.44
20241215 19:30:54,0.19
20241215 19:30:54,6.04
20241215 19:30:54,1.18
20241215 19:30:54,0.66
20241215 19:30:54,0.27
20241215 19:30:54,0.93
20241215 19:30:54,0.31
20241215 19:30:54,2.72
20241215 19:30:54,1.7
20241215 19:30:54,0.2
20241215 19:30:54,2.34
20241215 19:30:54,1.63
20241215 19:30:54,1.03
20241215 19:30:54,3.04
20241215 19:30:54,1.24
20241215 19:30:54,0.4
20241215 19:30:55,0.55
20241215 19:30:55,4.15
20241215 19:30:55,2.87
20241215 19:30:55,0.62
20241215 19:30:55,2.61
20241215 19:30:55,0.52
20241215 19:30:55,1.78
20241215 19:30:55,2.67
20241215 19:30:55,3.84
20241215 19:30:55,0.33
20241215 19:30:55,2.79
20241215 19:30:55,0.41
20241215 19:30:55,1.01
20241215 19:30:55,1.53
20241215 19:30:55,1.82
20241215 19:30:55,0.6
20241215 19:30:56,0.81
20241215 19:30:56,2.96
20241215 19:30:56,4.61
20241215 19:30:56,0.85
20241215 19:30:56,0.47
20241215 19:30:56,1.76
20241215 19:30:56,1.52
20241215 19:30:56,1.3
20241215 19:30:56,3.21
20241215 19:30:56,2.37
20241215 19:30:56,4.09
20241215 19:30:56,8.5
20241215 19:30:56,2.26
20241215 19:30:56,1.32
20241215 19:30:56,1.31
20241215 19:30:56,0.81
20241215 19:30:56,0.37
20241215 19:30:56,3.87
20241215 19:30:56,0.68
20241215 19:30:56,1.27
20241215 19:30:56,0.51
20241215 19:30:57,0.69
20241215 19:30:57,3.27
20241215 19:30:57,0.26
20241215 19:30:57,0.92
20241215 19:30:57,0.24
20241215 19:30:57,3.16
20241215 19:30:57,2.11
20241215 19:30:57,6.13
20241215 19:30:57,4.25
20241215 19:30:57,0.74
20241215 19:30:57,1.09
20241215 19:30:57,0.53
20241215 19:30:57,1.08
20241215 19:30:57,0.62
20241215 19:30:57,0.39
20241215 19:30:57,0.72
20241215 19:30:57,1.2
20241215 19:30:57,0.24
20241215 19:30:57,0.78
20241215 19:30:58,2.04
20241215 19:30:58,6.6
20241215 19:30:58,0.82
20241215 19:30:58,0.76
20241215 19:30:58,0.9
20241215 19:30:58,9.11
20241215 19:30:58,0.57
20241215 19:30:58,0.29
20241215 19:30:58,1.19
20241215 19:30:58,3.16
20241215 19:30:58,0.38
20241215 19:30:58,0.56
20241215 19:30:58,5.58
20241215 19:30:58,5.65
20241215 19:30:58,2.9
20241215 19:30:58,1.97
20241215 19:30:58,0.38
20241215 19:30:58,3.09
20241215 19:30:58,1.52
20241215 19:30:59,5.37
20241215 19:30:59,0.51
20241215 19:30:59,2.03
20241215 19:30:59,8.02
20241215 19:30:59,1.1
20241215 19:30:59,0.18
20241215 19:30:59,0.98
20241215 19:30:59,0.57
20241215 19:30:59,6.57
20241215 19:30:59,0.15
20241215 19:30:59,2.12
20241215 19:30:59,8.41
20241215 19:30:59,1.98
20241215 19:30:59,2.21
20241215 19:30:59,0.75
20241215 19:30:59,1.66
20241215 19:30:59,2.21
20241215 19:30:59,2.41
20241215 19:30:59,0.61
20241215 19:30:59,1.42
20241215 19:30:59,1.58
20241215 19:31:00,0.68
20241215 19:31:00,2.03
20241215 19:31:00,0.92
20241215 19:31:00,4.08
20241215 19:31:00,1.37
20241215 19:31:00,0.78
20241215 19:31:00,3.45
20241215 19:31:00,0.1
20241215 19:31:00,2.18
20241215 19:31:00,0.5
20241215 19:31:00,3.68
20241215 19:31:00,4.22
20241215 19:31:00,0.48
20241215 19:31:00,2.34
20241215 19:31:00,2.06
20241215 19:31:00,3.82
20241215 19:31:01,0.75
20241215 19:31:01,3.34
20241215 19:31:01,1.19
20241215 19:31:01,0.39
20241215 19:31:01,1.27
20241215 19:31:01,7.79
20241215 19:31:01,0.8
20241215 19:31:01,0.75
20241215 19:31:01,2.77
20241215 19:31:01,1.12
20241215 19:31:01,3.41
20241215 19:31:01,0.21
20241215 19:31:02,0.73
20241215 19:31:02,4.71
20241215 19:31:02,4.37
20241215 19:31:02,1.28
20241215 19:31:02,1.19
20241215 19:31:02,3.16
20241215 19:31:02,0.18
20241215 19:31:02,2.63
20241215 19:31:02,0.39
20241215 19:31:02,0.22
20241215 19:31:02,0.23
20241215 19:31:02,3.61
20241215 19:31:02,2.18
20241215 19:31:02,1.16
20241215 19:31:02,2.5
20241215 19:31:03,2.33
20241215 19:31:03,0.36
20241215 19:31:03,3.02
20241215 19:31:03,1.99
20241215 19:31:03,4.04
20241215 19:31:03,1.51
20241215 19:31:03,4.16
20241215 19:31:03,0.16
20241215 19:31:03,5.07
20241215 19:31:03,5.06
20241215 19:31:03,2.43
20241215 19:31:03,0.36
20241215 19:31:03,0.52
20241215 19:31:03,2.09
20241215 19:31:03,1.79
20241215 19:31:03,0.93
20241215 19:31:03,0.24
20241215 19:31:03,4.25
20241215 19:31:04,5.64
20241215 19:31:04,2.66
20241215 19:31:04,0.17
20241215 19:31:04,1.24
20241215 19:31:04,3.6
20241215 19:31:04,1.29
20241215 19:31:04,1.4
20241215 19:31:04,1.14
20241215 19:31:04,5.1
20241215 19:31:04,1.49
20241215 19:31:04,6.26
20241215 19:31:04,0.27
20241215 19:31:04,10.33
20241215 19:31:04,0.42
20241215 19:31:04,3.58
20241215 19:31:04,0.38
20241215 19:31:04,0.67
20241215 19:31:04,1.28
20241215 19:31:04,0.22
20241215 19:31:04,6.55
20241215 19:31:04,2.93
20241215 19:31:04,0.21
20241215 19:31:05,0.82
20241215 19:31:05,4.94
20241215 19:31:05,0.53
20241215 19:31:05,1.45
20241215 19:31:05,1.22
20241215 19:31:05,0.53
20241215 19:31:05,1.01
20241215 19:31:05,0.97
20241215 19:31:05,2.14
20241215 19:31:05,1.1
20241215 19:31:05,0.89
20241215 19:31:05,5.24
20241215 19:31:05,0.45
20241215 19:31:05,1.57
20241215 19:31:05,6.83
20241215 19:31:05,0.73
20241215 19:31:05,0.14
20241215 19:31:06,0.84
20241215 19:31:06,1
20241215 19:31:06,3.27
20241215 19:31:06,5.02
20241215 19:31:06,1.32
20241215 19:31:06,0.55
20241215 19:31:06,9.19
20241215 19:31:06,10
20241215 19:31:06,0.45
20241215 19:31:06,1.27
20241215 19:31:06,0.96
20241215 19:31:06,0.67
20241215 19:31:06,1.04
20241215 19:31:06,0.92
20241215 19:31:06,0.94
20241215 19:31:06,3.18
20241215 19:31:06,0.14
20241215 19:31:06,0.8
20241215 19:31:07,0.48
20241215 19:31:07,1.2
20241215 19:31:07,1.89
20241215 19:31:07,1.73
20241215 19:31:07,0.33
20241215 19:31:07,6.71
20241215 19:31:07,0.27
20241215 19:31:07,5.45
20241215 19:31:07,3.38
20241215 19:31:07,2.42
20241215 19:31:07,5.21
20241215 19:31:07,4.66
20241215 19:31:07,1.58
20241215 19:31:07,0.83
20241215 19:31:07,4.77
20241215 19:31:07,3.35
20241215 19:31:07,1.09
20241215 19:31:07,1.7
20241215 19:31:08,5.37
20241215 19:31:08,0.9
20241215 19:31:08,0.81
20241215 19:31:08,0.34
20241215 19:31:08,0.91
20241215 19:31:08,2.28
20241215 19:31:08,4.1
20241215 19:31:08,0.87
20241215 19:31:08,1.77
20241215 19:31:08,2.19
20241215 19:31:08,7.96
20241215 19:31:08,0.2
20241215 19:31:08,1.27
20241215 19:31:08,1.65
20241215 19:31:08,2.6
20241215 19:31:08,0.29
20241215 19:31:08,0.62
20241215 19:31:08,4.2
20241215 19:31:08,2.15
20241215 19:31:08,1.73
20241215 19:31:08,0.86
20241215 19:31:08,4.08
20241215 19:31:09,0.71
20241215 19:31:09,0.32
20241215 19:31:09,6.12
20241215 19:31:09,3.09
20241215 19:31:09,1.31
20241215 19:31:09,0.79
20241215 19:31:09,2.61
20241215 19:31:09,0.6
20241215 19:31:09,0.58
20241215 19:31:09,1.02
20241215 19:31:09,5.16
20241215 19:31:09,0.2
20241215 19:31:09,0.6
20241215 19:31:09,4.51
20241215 19:31:09,1.59
20241215 19:31:09,0.26
20241215 19:31:10,1.48
20241215 19:31:10,0.37
20241215 19:31:10,0.31
20241215 19:31:10,2.05
20241215 19:31:10,2.24
20241215 19:31:10,1.22
20241215 19:31:10,2.74
20241215 19:31:10,4.8
20241215 19:31:10,2.6
20241215 19:31:10,0.63
20241215 19:31:10,5.75
20241215 19:31:10,3.47
20241215 19:31:10,0.7
20241215 19:31:11,1.55
20241215 19:31:11,1.26
20241215 19:31:11,1.98
20241215 19:31:11,2.41
20241215 19:31:11,1.54
20241215 19:31:11,4.47
20241215 19:31:11,11.75
20241215 19:31:11,1.62
20241215 19:31:11,0.52
20241215 19:31:12,1.07
20241215 19:31:12,8.89
20241215 19:31:12,1.33
20241215 19:31:12,0.35
20241215 19:31:12,0.1
20241215 19:31:12,3.43
20241215 19:31:12,2.81
20241215 19:31:12,0.52
20241215 19:31:12,2.78
20241215 19:31:12,2.25
20241215 19:31:12,2.23
20241215 19:31:12,1.2
20241215 19:31:12,1.11
20241215 19:31:12,0.25
20241215 19:31:12,1.68
20241215 19:31:12,1.01
20241215 19:31:13,1.78
20241215 19:31:13,3.68
20241215 19:31:13,1.33
20241215 19:31:13,0.48
20241215 19:31:13,1.19
20241215 19:31:13,2.15
20241215 19:31:13,4.9
20241215 19:31:13,1.08
20241215 19:31:13,4.97
20241215 19:31:13,1.93
20241215 19:31:13,0.1
20241215 19:31:13,1.01
20241215 19:31:13,0.34
20241215 19:31:13,0.28
20241215 19:31:13,7.24
20241215 19:31:13,0.1
20241215 19:31:13,0.42
20241215 19:31:13,2.92
20241215 19:31:14,1.52
20241215 19:31:14,1.81
20241215 19:31:14,0.83
20241215 19:31:14,2.3
20241215 19:31:14,2.72
20241215 19:31:14,1.66
20241215 19:31:14,2.66
20241215 19:31:14,2.93
20241215 19:31:14,2.35
20241215 19:31:14,4.05
20241215 19:31:14,2.85
20241215 19:31:14,0.71
20241215 19:31:14,1.34
20241215 19:31:14,6.86
20241215 19:31:14,1.75
20241215 19:31:14,0.5
20241215 19:31:15,2.89
20241215 19:31:15,4.92
20241215 19:31:15,1.1
20241215 19:31:15,1.12
20241215 19:31:15,4.3
20241215 19:31:15,0.76
20241215 19:31:15,2.3
20241215 19:31:15,0.21
20241215 19:31:15,1.8
20241215 19:31:15,7.38
20241215 19:31:15,5.6
20241215 19:31:15,1.18
20241215 19:31:15,2.4
20241215 19:31:15,0.6
20241215 19:31:15,2.83
20241215 19:31:15,9.54
20241215 19:31:15,3.92
20241215 19:31:16,2.83
20241215 19:31:16,0.45
20241215 19:31:16,0.68
20241215 19:31:16,1.06
20241215 19:31:16,0.14
20241215 19:31:16,1.19
20241215 19:31:16,1.78
20241215 19:31:16,1.12
20241215 19:31:16,3.43
20241215 19:31:16,0.91
20241215 19:31:16,1.23
20241215 19:31:16,0.23
20241215 19:31:16,3.34
20241215 19:31:16,0.11
20241215 19:31:16,7.41
20241215 19:31:16,1.82
20241215 19:31:16,0.5
20241215 19:31:16,2.59
20241215 19:31:16,0.95
20241215 19:31:17,1.95
20241215 19:31:17,4.69
20241215 19:31:17,0.35
20241215 19:31:17,0.37
20241215 19:31:17,0.52
20241215 19:31:17,1.5
20241215 19:31:17,3.08
20241215 19:31:17,1.44
20241215 19:31:17,4.64
20241215 19:31:17,0.41
20241215 19:31:17,3.12
20241215 19:31:17,2.25
20241215 19:31:17,1.54
20241215 19:31:17,5.37
20241215 19:31:17,3.97
20241215 19:31:17,5.58
20241215 19:31:17,0.98
20241215 19:31:17,5.55
20241215 19:31:17,0.95
20241215 19:31:17,0.38
20241215 19:31:18,2.49
20241215 19:31:18,0.1
20241215 19:31:18,0.66
20241215 19:31:18,4.87
20241215 19:31:18,0.35
20241215 19:31:18,1.38
20241215 19:31:18,5.19
20241215 19:31:18,1.27
20241215 19:31:18,1.35
20241215 19:31:18,1.14
20241215 19:31:18,2.73
20241215 19:31:18,1.7
20241215 19:31:18,3.36
20241215 19:31:19,0.65
20241215 19:31:19,0.41
20241215 19:31:19,0.93
20241215 19:31:19,2.51
20241215 19:31:19,0.79
20241215 19:31:19,7.49
20241215 19:31:19,1.7
20241215 19:31:19,1.76
20241215 19:31:19,6.12
20241215 19:31:19,0.37
20241215 19:31:19,5.17
20241215 19:31:19,2.34
20241215 19:31:19,3.48
20241215 19:31:19,9.19
20241215 19:31:20,5.13
20241215 19:31:20,1.1
20241215 19:31:20,0.96
20241215 19:31:20,0.18
20241215 19:31:20,3.86
20241215 19:31:20,0.11
20241215 19:31:20,0.82
20241215 19:31:20,1.42
20241215 19:31:20,4.53
20241215 19:31:20,5.99
20241215 19:31:20,0.52
20241215 19:31:20,2.12
20241215 19:31:20,0.52
20241215 19:31:20,1.05
20241215 19:31:20,2.12
20241215 19:31:20,1.2
20241215 19:31:21,4.71
20241215 19:31:21,0.58
20241215 19:31:21,1.75
20241215 19:31:21,0.46
20241215 19:31:21,4.04
20241215 19:31:21,3.11
20241215 19:31:21,0.5
20241215 19:31:21,7.23
20241215 19:31:21,1.92
20241215 19:31:21,0.96
20241215 19:31:21,4.25
