μ子数据
开始时间,19:01:39
20231105 19:01:47,1.6
20231105 19:01:48,1.14
20231105 19:01:48,5.46
20231105 19:01:48,2.83
20231105 19:01:48,1.38
20231105 19:01:48,3.48
20231105 19:01:48,0.76
20231105 19:01:48,2.98
20231105 19:01:48,0.7
20231105 19:01:48,1.08
20231105 19:01:48,0.19
20231105 19:01:48,1.18
20231105 19:01:48,1.17
20231105 19:01:48,1.45
20231105 19:01:48,0.23
20231105 19:01:48,0.43
20231105 19:01:48,9.89
20231105 19:01:49,1.6
20231105 19:01:49,9.64
20231105 19:01:49,1.86
20231105 19:01:49,1.88
20231105 19:01:49,0.68
20231105 19:01:49,2.42
20231105 19:01:49,0.24
20231105 19:01:49,0.23
20231105 19:01:49,0.38
20231105 19:01:49,4.95
20231105 19:01:49,3.16
20231105 19:01:49,0.41
20231105 19:01:49,0.32
20231105 19:01:50,0.43
20231105 19:01:50,4.27
20231105 19:01:50,4.73
20231105 19:01:50,0.96
20231105 19:01:50,2.51
20231105 19:01:50,8.19
20231105 19:01:50,0.48
20231105 19:01:50,0.36
20231105 19:01:50,3.97
20231105 19:01:50,6.22
20231105 19:01:50,0.44
20231105 19:01:50,3
20231105 19:01:50,0.2
20231105 19:01:50,3.57
20231105 19:01:50,2.21
20231105 19:01:50,7.5
20231105 19:01:50,3.23
20231105 19:01:50,1.91
20231105 19:01:50,1.7
20231105 19:01:50,3.09
20231105 19:01:50,4.08
20231105 19:01:51,0.57
20231105 19:01:51,4.01
20231105 19:01:51,1.9
20231105 19:01:51,3.5
20231105 19:01:51,0.16
20231105 19:01:51,2.97
20231105 19:01:51,0.53
20231105 19:01:51,3.6
20231105 19:01:51,0.52
20231105 19:01:51,1.73
20231105 19:01:51,0.53
20231105 19:01:51,2.97
20231105 19:01:51,2.38
20231105 19:01:51,9.08
20231105 19:01:51,1.19
20231105 19:01:51,2.09
20231105 19:01:52,0.76
20231105 19:01:52,0.29
20231105 19:01:52,4.58
20231105 19:01:52,1.9
20231105 19:01:52,8.09
20231105 19:01:52,1.8
20231105 19:01:52,2.8
20231105 19:01:52,0.24
20231105 19:01:52,1.68
20231105 19:01:52,0.34
20231105 19:01:52,0.22
20231105 19:01:52,0.51
20231105 19:01:52,2.33
20231105 19:01:52,1.69
20231105 19:01:52,2.19
20231105 19:01:52,4.43
20231105 19:01:52,3.63
20231105 19:01:52,1.57
20231105 19:01:52,1.81
20231105 19:01:52,0.9
20231105 19:01:52,3.14
20231105 19:01:52,2.1
20231105 19:01:52,0.66
20231105 19:01:52,0.21
20231105 19:01:52,2.4
20231105 19:01:53,4.49
20231105 19:01:53,0.8
20231105 19:01:53,0.56
20231105 19:01:53,0.3
20231105 19:01:53,0.97
20231105 19:01:53,1.32
20231105 19:01:53,5.24
20231105 19:01:53,5.19
20231105 19:01:53,0.73
20231105 19:01:53,0.33
20231105 19:01:53,0.92
20231105 19:01:53,0.19
20231105 19:01:53,0.47
20231105 19:01:53,0.51
20231105 19:01:53,5.33
20231105 19:01:53,1.28
20231105 19:01:53,0.3
20231105 19:01:53,0.21
20231105 19:01:53,9.07
20231105 19:01:53,2.43
20231105 19:01:54,0.72
20231105 19:01:54,0.9
20231105 19:01:54,2.59
20231105 19:01:54,2.82
20231105 19:01:54,1.02
20231105 19:01:54,7.04
20231105 19:01:54,2.74
20231105 19:01:54,0.26
20231105 19:01:54,4
20231105 19:01:54,6.78
20231105 19:01:54,5.22
20231105 19:01:54,3.38
20231105 19:01:54,1.59
20231105 19:01:54,1.62
20231105 19:01:54,2.3
20231105 19:01:54,1.24
20231105 19:01:54,0.31
20231105 19:01:54,3.87
20231105 19:01:54,1.09
20231105 19:01:54,1.24
20231105 19:01:55,2.32
20231105 19:01:55,1.01
20231105 19:01:55,1.66
20231105 19:01:55,4.35
20231105 19:01:55,0.82
20231105 19:01:55,0.26
20231105 19:01:55,13.04
20231105 19:01:55,2.44
20231105 19:01:55,0.54
20231105 19:01:55,2.82
20231105 19:01:55,0.61
20231105 19:01:55,7.1
20231105 19:01:55,2.08
20231105 19:01:55,4.27
20231105 19:01:55,0.86
20231105 19:01:55,0.23
20231105 19:01:55,0.59
20231105 19:01:55,1.77
20231105 19:01:55,3.48
20231105 19:01:55,2.37
20231105 19:01:55,0.94
20231105 19:01:55,0.96
20231105 19:01:55,2.39
20231105 19:01:56,0.16
20231105 19:01:56,1.7
20231105 19:01:56,0.71
20231105 19:01:56,2.05
20231105 19:01:56,5.6
20231105 19:01:56,3.37
20231105 19:01:56,1.58
20231105 19:01:56,2
20231105 19:01:56,0.89
20231105 19:01:56,0.65
20231105 19:01:56,2.33
20231105 19:01:56,2.78
20231105 19:01:56,3.5
20231105 19:01:56,2.64
20231105 19:01:56,5.66
20231105 19:01:56,0.29
20231105 19:01:56,1.88
20231105 19:01:57,2.87
20231105 19:01:57,0.38
20231105 19:01:57,0.21
20231105 19:01:57,2.63
20231105 19:01:57,2.7
20231105 19:01:57,0.34
20231105 19:01:57,2.97
20231105 19:01:57,1.19
20231105 19:01:57,2.43
20231105 19:01:57,1.71
20231105 19:01:57,0.61
20231105 19:01:57,2.01
20231105 19:01:58,2.37
20231105 19:01:58,2.25
20231105 19:01:58,0.69
20231105 19:01:58,0.91
20231105 19:01:58,14.47
20231105 19:01:58,2.88
20231105 19:01:58,0.24
20231105 19:01:58,0.89
20231105 19:01:59,5.46
20231105 19:01:59,1.18
20231105 19:01:59,10.45
20231105 19:01:59,0.49
20231105 19:01:59,5.68
20231105 19:01:59,0.6
20231105 19:01:59,3.81
20231105 19:01:59,2.37
20231105 19:01:59,0.93
20231105 19:01:59,1.31
20231105 19:01:59,3.01
20231105 19:01:59,3.74
20231105 19:01:59,0.64
20231105 19:01:59,2.44
20231105 19:01:59,2.81
20231105 19:01:59,5.36
20231105 19:01:59,1.03
20231105 19:01:59,1.44
20231105 19:02:00,0.26
20231105 19:02:00,1.81
20231105 19:02:00,2.17
20231105 19:02:00,3.68
20231105 19:02:00,3.25
20231105 19:02:00,0.93
20231105 19:02:00,1.3
20231105 19:02:00,1.01
20231105 19:02:00,2.25
20231105 19:02:00,1.1
20231105 19:02:00,2.41
20231105 19:02:00,0.14
20231105 19:02:00,2.04
20231105 19:02:00,1.01
20231105 19:02:00,0.66
20231105 19:02:00,0.41
20231105 19:02:00,4.38
20231105 19:02:01,0.29
20231105 19:02:01,2.09
20231105 19:02:01,3.55
20231105 19:02:01,1.37
20231105 19:02:01,4.05
20231105 19:02:01,1.18
20231105 19:02:01,3.86
20231105 19:02:01,4.06
20231105 19:02:01,1.27
20231105 19:02:01,1.53
20231105 19:02:01,3.34
20231105 19:02:01,1.68
20231105 19:02:01,1.69
20231105 19:02:01,0.96
20231105 19:02:02,9.3
20231105 19:02:02,2.19
20231105 19:02:02,0.38
20231105 19:02:02,5.23
20231105 19:02:02,2.45
20231105 19:02:02,4.64
20231105 19:02:02,5.05
20231105 19:02:02,0.47
20231105 19:02:02,3.55
20231105 19:02:02,1.24
20231105 19:02:02,5.01
20231105 19:02:02,0.82
20231105 19:02:02,0.16
20231105 19:02:02,1.8
20231105 19:02:02,2.45
20231105 19:02:03,0.34
20231105 19:02:03,0.32
20231105 19:02:03,1.21
20231105 19:02:03,0.34
20231105 19:02:03,3.21
20231105 19:02:03,4.76
20231105 19:02:03,1.02
20231105 19:02:03,0.46
20231105 19:02:03,3.54
20231105 19:02:03,0.49
20231105 19:02:03,3.58
20231105 19:02:03,0.43
20231105 19:02:03,7.41
20231105 19:02:03,3.15
20231105 19:02:03,1.74
20231105 19:02:03,3.56
20231105 19:02:03,4.13
20231105 19:02:03,12.83
20231105 19:02:03,0.14
20231105 19:02:03,15.49
20231105 19:02:03,4.49
20231105 19:02:03,2.77
20231105 19:02:04,1.07
20231105 19:02:04,3.64
20231105 19:02:04,0.54
20231105 19:02:04,3.04
20231105 19:02:04,0.52
20231105 19:02:04,2.63
20231105 19:02:04,0.5
20231105 19:02:04,1.47
20231105 19:02:04,1.35
20231105 19:02:04,1.21
20231105 19:02:04,4.65
20231105 19:02:04,1.61
20231105 19:02:04,2.58
20231105 19:02:04,1.63
20231105 19:02:04,2.26
20231105 19:02:05,0.72
20231105 19:02:05,2.76
20231105 19:02:05,2.76
20231105 19:02:05,0.29
20231105 19:02:05,0.11
20231105 19:02:05,0.38
20231105 19:02:05,0.92
20231105 19:02:05,0.5
20231105 19:02:05,1.64
20231105 19:02:05,7.64
20231105 19:02:05,1.12
20231105 19:02:05,2.04
20231105 19:02:05,0.23
20231105 19:02:05,2.7
20231105 19:02:05,0.73
20231105 19:02:05,0.42
20231105 19:02:05,2.91
20231105 19:02:05,2.45
20231105 19:02:05,0.44
20231105 19:02:05,0.65
20231105 19:02:05,2.8
20231105 19:02:05,0.73
20231105 19:02:05,1.63
20231105 19:02:05,4.73
20231105 19:02:06,0.14
20231105 19:02:06,0.88
20231105 19:02:06,0.68
20231105 19:02:06,1.06
20231105 19:02:06,4.08
20231105 19:02:06,0.79
20231105 19:02:06,3.23
20231105 19:02:06,0.83
20231105 19:02:06,0.77
20231105 19:02:06,1.07
20231105 19:02:06,0.55
20231105 19:02:06,0.14
20231105 19:02:06,0.97
20231105 19:02:06,1.23
20231105 19:02:06,0.72
20231105 19:02:07,5.19
20231105 19:02:07,3.74
20231105 19:02:07,1.8
20231105 19:02:07,1.02
20231105 19:02:07,0.99
20231105 19:02:07,0.92
20231105 19:02:07,0.6
20231105 19:02:07,5.09
20231105 19:02:07,7.33
20231105 19:02:07,2.11
20231105 19:02:07,2.22
20231105 19:02:07,3.77
20231105 19:02:07,2.4
20231105 19:02:07,1.24
20231105 19:02:07,1.97
20231105 19:02:08,1.53
20231105 19:02:08,2.35
20231105 19:02:08,0.84
20231105 19:02:08,0.2
20231105 19:02:08,0.19
20231105 19:02:08,1.65
20231105 19:02:08,6.69
20231105 19:02:08,0.17
20231105 19:02:08,0.41
20231105 19:02:08,0.11
20231105 19:02:08,0.97
20231105 19:02:08,3.95
20231105 19:02:08,0.62
20231105 19:02:08,4.8
20231105 19:02:08,1.21
20231105 19:02:08,0.26
20231105 19:02:08,1.06
20231105 19:02:08,3.58
20231105 19:02:08,1.63
20231105 19:02:08,2.32
20231105 19:02:09,1.24
20231105 19:02:09,4.52
20231105 19:02:09,2.03
20231105 19:02:09,0.23
20231105 19:02:09,2.62
20231105 19:02:09,0.43
20231105 19:02:09,1.26
20231105 19:02:09,3.12
20231105 19:02:09,1.11
20231105 19:02:09,0.7
20231105 19:02:09,3.82
20231105 19:02:10,5.12
20231105 19:02:10,0.88
20231105 19:02:10,1.45
20231105 19:02:10,2.43
20231105 19:02:10,0.64
20231105 19:02:10,3.61
20231105 19:02:10,0.77
20231105 19:02:10,8.9
20231105 19:02:10,3.37
20231105 19:02:10,4.51
20231105 19:02:10,0.73
20231105 19:02:10,5
20231105 19:02:10,0.76
20231105 19:02:11,0.45
20231105 19:02:11,3.17
20231105 19:02:11,0.67
20231105 19:02:11,1.52
20231105 19:02:11,2.18
20231105 19:02:11,2.17
20231105 19:02:11,1.78
20231105 19:02:11,1.31
20231105 19:02:11,1.04
20231105 19:02:11,3.24
20231105 19:02:11,0.22
20231105 19:02:11,1.38
20231105 19:02:11,0.93
20231105 19:02:11,5.17
20231105 19:02:12,0.38
20231105 19:02:12,0.34
20231105 19:02:12,1.34
20231105 19:02:12,0.2
20231105 19:02:12,3.24
20231105 19:02:12,1.46
20231105 19:02:12,0.68
20231105 19:02:12,1.79
20231105 19:02:12,1.82
20231105 19:02:12,3.37
20231105 19:02:12,6.72
20231105 19:02:12,0.71
20231105 19:02:12,3.14
20231105 19:02:12,2.69
20231105 19:02:12,2.41
20231105 19:02:12,0.44
20231105 19:02:12,4.1
20231105 19:02:12,0.61
20231105 19:02:12,0.86
20231105 19:02:13,2.04
20231105 19:02:13,2.48
20231105 19:02:13,2.34
20231105 19:02:13,3.28
20231105 19:02:13,0.31
20231105 19:02:13,0.95
20231105 19:02:13,6.58
20231105 19:02:13,2.69
20231105 19:02:13,0.84
20231105 19:02:13,7.6
20231105 19:02:13,6.58
20231105 19:02:13,8.58
20231105 19:02:13,0.62
20231105 19:02:13,1.61
20231105 19:02:13,1.26
20231105 19:02:14,0.41
20231105 19:02:14,0.55
20231105 19:02:14,4.76
20231105 19:02:14,1.47
20231105 19:02:14,1.43
20231105 19:02:14,0.65
20231105 19:02:14,0.13
20231105 19:02:14,2.85
20231105 19:02:14,0.76
20231105 19:02:14,2.28
20231105 19:02:14,0.19
20231105 19:02:14,0.73
20231105 19:02:14,0.34
20231105 19:02:14,3.37
20231105 19:02:14,0.68
20231105 19:02:15,0.85
20231105 19:02:15,7.33
20231105 19:02:15,3.57
20231105 19:02:15,0.36
20231105 19:02:15,5.89
20231105 19:02:15,2.49
20231105 19:02:15,6.13
20231105 19:02:15,3.66
20231105 19:02:15,4.67
20231105 19:02:15,0.25
20231105 19:02:15,0.18
20231105 19:02:15,2.33
20231105 19:02:16,1.55
20231105 19:02:16,0.73
20231105 19:02:16,5.54
20231105 19:02:16,6.61
20231105 19:02:16,5.49
20231105 19:02:16,0.56
20231105 19:02:16,2.48
20231105 19:02:16,0.22
20231105 19:02:16,1.65
20231105 19:02:16,1.33
20231105 19:02:16,4.56
20231105 19:02:16,0.31
20231105 19:02:17,0.93
20231105 19:02:17,2.99
20231105 19:02:17,0.64
20231105 19:02:17,1.91
20231105 19:02:17,1.3
20231105 19:02:17,0.62
20231105 19:02:17,0.12
20231105 19:02:17,0.32
20231105 19:02:17,0.76
20231105 19:02:17,0.86
20231105 19:02:17,0.46
20231105 19:02:17,0.33
20231105 19:02:17,8.69
20231105 19:02:17,3.92
20231105 19:02:17,3.8
20231105 19:02:17,2.86
20231105 19:02:17,0.42
20231105 19:02:18,1.13
20231105 19:02:18,0.75
20231105 19:02:18,1.55
20231105 19:02:18,0.82
20231105 19:02:18,2.38
20231105 19:02:18,0.34
20231105 19:02:18,0.81
20231105 19:02:18,2.1
20231105 19:02:18,1.17
20231105 19:02:18,0.61
20231105 19:02:18,2.27
20231105 19:02:18,1.78
20231105 19:02:18,2.94
20231105 19:02:18,0.15
20231105 19:02:18,1.44
20231105 19:02:18,0.22
20231105 19:02:18,2.27
20231105 19:02:18,2.35
20231105 19:02:18,6.31
20231105 19:02:18,2.14
20231105 19:02:18,17.39
20231105 19:02:18,1.6
20231105 19:02:18,1.32
20231105 19:02:19,0.12
20231105 19:02:19,1
20231105 19:02:19,0.41
20231105 19:02:19,0.59
20231105 19:02:19,4.54
20231105 19:02:19,0.36
20231105 19:02:19,1.38
20231105 19:02:19,0.47
20231105 19:02:19,4.48
20231105 19:02:19,3.78
20231105 19:02:19,1.24
20231105 19:02:20,6.58
20231105 19:02:20,0.44
20231105 19:02:20,1.3
20231105 19:02:20,1.41
20231105 19:02:20,2.24
20231105 19:02:20,0.34
20231105 19:02:20,1.92
20231105 19:02:20,0.21
20231105 19:02:20,1.99
20231105 19:02:20,1.05
20231105 19:02:20,2.66
20231105 19:02:20,3.05
20231105 19:02:20,4.95
20231105 19:02:20,4.74
20231105 19:02:20,2.71
20231105 19:02:20,2.28
20231105 19:02:20,7.71
20231105 19:02:20,0.67
20231105 19:02:20,1.42
20231105 19:02:21,0.2
20231105 19:02:21,0.37
20231105 19:02:21,1.35
20231105 19:02:21,3.62
20231105 19:02:21,4.37
20231105 19:02:21,4.81
20231105 19:02:21,2.44
20231105 19:02:21,3.53
20231105 19:02:21,0.76
20231105 19:02:21,0.27
20231105 19:02:21,2.62
20231105 19:02:21,0.89
20231105 19:02:21,0.6
20231105 19:02:22,3.3
20231105 19:02:22,0.8
20231105 19:02:22,4.69
20231105 19:02:22,0.42
20231105 19:02:22,0.15
20231105 19:02:22,0.15
20231105 19:02:22,6.4
20231105 19:02:22,2.86
20231105 19:02:22,6.41
20231105 19:02:22,6.33
20231105 19:02:22,1.08
20231105 19:02:22,6.37
20231105 19:02:22,2.6
20231105 19:02:23,1.6
20231105 19:02:23,0.46
20231105 19:02:23,4.21
20231105 19:02:23,0.31
20231105 19:02:23,2.65
20231105 19:02:23,0.74
20231105 19:02:23,0.43
20231105 19:02:23,3.57
20231105 19:02:23,10.97
20231105 19:02:23,0.1
20231105 19:02:24,1
20231105 19:02:24,6.88
20231105 19:02:24,1.96
20231105 19:02:24,1.8
20231105 19:02:24,1.23
20231105 19:02:24,4.01
20231105 19:02:24,0.89
20231105 19:02:24,0.16
20231105 19:02:24,1.66
20231105 19:02:24,0.86
20231105 19:02:24,0.79
20231105 19:02:24,0.81
20231105 19:02:24,2.37
20231105 19:02:24,0.8
20231105 19:02:24,1.21
20231105 19:02:24,2.08
20231105 19:02:24,0.87
20231105 19:02:24,1.11
20231105 19:02:24,0.84
20231105 19:02:24,1.44
20231105 19:02:24,3.72
20231105 19:02:24,6.7
20231105 19:02:24,0.66
20231105 19:02:24,3.84
20231105 19:02:24,0.9
20231105 19:02:24,0.72
20231105 19:02:24,2.49
20231105 19:02:24,3.26
20231105 19:02:24,7.55
20231105 19:02:25,2.16
20231105 19:02:25,2.24
20231105 19:02:25,0.2
20231105 19:02:25,2.09
20231105 19:02:25,3.34
20231105 19:02:25,0.68
20231105 19:02:25,1.54
20231105 19:02:25,0.93
20231105 19:02:25,2.48
20231105 19:02:25,9.54
20231105 19:02:25,2.66
20231105 19:02:25,10.96
20231105 19:02:25,2.21
20231105 19:02:25,3.63
20231105 19:02:25,4.28
20231105 19:02:25,0.81
20231105 19:02:25,2.87
20231105 19:02:25,0.2
20231105 19:02:26,1.39
20231105 19:02:26,0.73
20231105 19:02:26,0.32
20231105 19:02:26,1.01
20231105 19:02:26,0.86
20231105 19:02:26,6.54
20231105 19:02:26,6.55
20231105 19:02:26,1.73
20231105 19:02:26,1.66
20231105 19:02:26,2.1
20231105 19:02:26,0.25
20231105 19:02:26,1.97
20231105 19:02:26,1.65
20231105 19:02:27,0.52
20231105 19:02:27,1.98
20231105 19:02:27,1.09
20231105 19:02:27,2.48
20231105 19:02:27,2.79
20231105 19:02:27,2.53
20231105 19:02:27,1.26
20231105 19:02:27,3.71
20231105 19:02:27,5.48
20231105 19:02:27,1.58
20231105 19:02:27,2.29
20231105 19:02:27,5.02
20231105 19:02:27,0.13
20231105 19:02:27,3
20231105 19:02:27,0.59
20231105 19:02:27,0.24
20231105 19:02:27,0.81
20231105 19:02:27,0.86
20231105 19:02:27,6.99
20231105 19:02:27,2.53
20231105 19:02:28,0.84
20231105 19:02:28,6.01
20231105 19:02:28,0.32
20231105 19:02:28,0.35
20231105 19:02:28,2.06
20231105 19:02:28,1.25
20231105 19:02:28,1.84
20231105 19:02:28,2.7
20231105 19:02:28,4.66
20231105 19:02:28,2.16
20231105 19:02:28,1.04
20231105 19:02:28,0.66
20231105 19:02:28,2.63
20231105 19:02:28,1.88
20231105 19:02:28,7.44
20231105 19:02:28,7.64
20231105 19:02:28,0.65
20231105 19:02:29,5.71
20231105 19:02:29,1.74
20231105 19:02:29,0.47
20231105 19:02:29,1.1
20231105 19:02:29,1.85
20231105 19:02:29,4.44
20231105 19:02:29,1.57
20231105 19:02:29,5.17
20231105 19:02:29,4.35
20231105 19:02:29,2.1
20231105 19:02:29,2.79
20231105 19:02:29,1.18
20231105 19:02:29,4.09
20231105 19:02:29,9.48
20231105 19:02:29,0.5
20231105 19:02:29,1.66
20231105 19:02:29,1.33
20231105 19:02:29,1.11
20231105 19:02:29,3.69
20231105 19:02:29,1.74
20231105 19:02:29,1.06
20231105 19:02:29,11.69
20231105 19:02:29,1.53
20231105 19:02:29,0.39
20231105 19:02:30,0.51
20231105 19:02:30,0.52
20231105 19:02:30,2.97
20231105 19:02:30,0.97
20231105 19:02:30,1.9
20231105 19:02:30,0.43
20231105 19:02:30,1.52
20231105 19:02:30,6.06
20231105 19:02:30,0.74
20231105 19:02:30,2.51
20231105 19:02:30,6.75
20231105 19:02:30,1.54
20231105 19:02:30,9.57
20231105 19:02:30,0.75
20231105 19:02:30,5.76
20231105 19:02:30,0.81
20231105 19:02:31,0.75
20231105 19:02:31,0.38
20231105 19:02:31,2.82
20231105 19:02:31,10.26
20231105 19:02:31,0.32
20231105 19:02:31,0.68
20231105 19:02:31,1.81
20231105 19:02:31,1.52
20231105 19:02:31,3.24
20231105 19:02:31,0.18
20231105 19:02:31,2.88
20231105 19:02:31,5.37
20231105 19:02:31,6
20231105 19:02:31,0.83
20231105 19:02:31,3.63
20231105 19:02:31,0.36
20231105 19:02:31,8.41
20231105 19:02:31,1.24
20231105 19:02:31,0.42
20231105 19:02:31,2.89
20231105 19:02:32,7.91
20231105 19:02:32,0.83
20231105 19:02:32,3.28
20231105 19:02:32,1.85
20231105 19:02:32,2.71
20231105 19:02:32,5.14
20231105 19:02:32,0.78
20231105 19:02:32,1.84
20231105 19:02:32,0.45
20231105 19:02:32,4.3
20231105 19:02:32,1.12
20231105 19:02:32,1.95
20231105 19:02:32,1.12
20231105 19:02:32,0.42
20231105 19:02:32,0.32
20231105 19:02:32,1.37
20231105 19:02:32,0.39
20231105 19:02:32,2.09
20231105 19:02:32,1.36
20231105 19:02:32,1.3
20231105 19:02:33,1.41
20231105 19:02:33,1.16
20231105 19:02:33,4.7
20231105 19:02:33,5.35
20231105 19:02:33,0.11
20231105 19:02:33,3.77
20231105 19:02:33,4.54
20231105 19:02:33,1.19
20231105 19:02:33,1.8
20231105 19:02:33,0.21
20231105 19:02:33,6.13
20231105 19:02:33,2.82
20231105 19:02:33,0.22
20231105 19:02:33,0.8
20231105 19:02:33,0.13
20231105 19:02:33,0.26
20231105 19:02:33,3.1
20231105 19:02:34,3.43
20231105 19:02:34,3.64
20231105 19:02:34,0.74
20231105 19:02:34,1.13
20231105 19:02:34,6.55
20231105 19:02:34,1.16
20231105 19:02:34,0.67
20231105 19:02:34,4.01
20231105 19:02:34,1.21
20231105 19:02:34,0.83
20231105 19:02:35,0.82
20231105 19:02:35,0.17
20231105 19:02:35,4.2
20231105 19:02:35,2.68
20231105 19:02:35,4.62
20231105 19:02:35,0.61
20231105 19:02:35,1.88
20231105 19:02:35,1.83
20231105 19:02:35,1.52
20231105 19:02:35,4.73
20231105 19:02:35,6.54
20231105 19:02:35,3.04
20231105 19:02:35,4.48
20231105 19:02:35,1.09
20231105 19:02:35,4
20231105 19:02:36,3.3
20231105 19:02:36,4.95
20231105 19:02:36,1.61
20231105 19:02:36,5.46
20231105 19:02:36,6.01
20231105 19:02:36,2.29
20231105 19:02:36,0.8
20231105 19:02:36,0.53
20231105 19:02:36,0.37
20231105 19:02:36,2.72
20231105 19:02:36,5.51
20231105 19:02:36,0.33
20231105 19:02:36,1.16
20231105 19:02:36,4.87
20231105 19:02:36,3.19
20231105 19:02:36,9.75
20231105 19:02:36,5.91
20231105 19:02:37,0.33
20231105 19:02:37,2.53
20231105 19:02:37,2.47
20231105 19:02:37,1.19
20231105 19:02:37,1.24
20231105 19:02:37,0.99
20231105 19:02:37,0.11
20231105 19:02:38,4.14
20231105 19:02:38,2.21
20231105 19:02:38,0.36
20231105 19:02:38,3.89
20231105 19:02:38,2.5
20231105 19:02:38,1.49
20231105 19:02:38,10.25
20231105 19:02:38,6.1
20231105 19:02:38,1.47
20231105 19:02:38,2.03
20231105 19:02:38,0.73
20231105 19:02:38,0.61
20231105 19:02:38,0.5
20231105 19:02:38,15.99
20231105 19:02:38,3.13
20231105 19:02:38,0.64
20231105 19:02:38,0.15
20231105 19:02:38,8.34
20231105 19:02:39,2.62
20231105 19:02:39,2.56
20231105 19:02:39,1.21
20231105 19:02:39,5.17
20231105 19:02:39,1
20231105 19:02:39,5.53
20231105 19:02:39,1
20231105 19:02:39,3.12
20231105 19:02:39,5.43
20231105 19:02:39,0.92
20231105 19:02:39,1.93
20231105 19:02:39,0.61
20231105 19:02:39,1.89
